fid,cr_dens,price,morfotype,cluster,minor_roads_dens,tree_dens,poi_dens,ma_morf,morfotype_unique,empt_place,parks,rail,trunk
453,0.09885,1,1,11,0.89336,0.288,0,1,1,0,1,0,0
454,0.37616,1,1,11,1.42574,1.69,0.106,1,1,0,1,0,0
455,0.31937,1,1,11,0.63601,3.566,0.068,1,2,0,1,0,1
456,0.21821,1,1,11,0.43227,1.227,0.052,1,2,0,1,0,1
457,0.79117,1,1,11,1.05006,3.307,0,1,2,0,1,0,1
458,0.30716,1,2,12,2.41734,4.425,0.34,0,2,0,1,0,1
459,0.94996,1,1,11,1.49118,3.072,0,1,1,0,1,0,0
460,0.13696,1,1,11,0.63835,2.164,0,0,1,0,1,0,0
461,0.27408,1,1,11,0.83699,3.048,0,1,1,0,1,0,0
462,0.30110,1,1,11,2.84608,3.955,0,1,1,0,1,0,0
463,0.68523,1,1,11,1.79408,0.396,0.132,1,1,0,1,0,0
